conda environment activated
/home2/codepk37

Epoch 16: Accuracy=0.6212
Epoch 17: Accuracy=0.6200
Epoch 18: Accuracy=0.6091
Epoch 19: Accuracy=0.6149
Epoch 20: Accuracy=0.6191
Epoch 21: Accuracy=0.6183
Epoch 22: Accuracy=0.6115
Epoch 23: Accuracy=0.6114
Epoch 24: Accuracy=0.6197
Epoch 25: Accuracy=0.6195
Epoch 26: Accuracy=0.6189
Epoch 27: Accuracy=0.6156
Epoch 28: Accuracy=0.6229
Epoch 29: Accuracy=0.6203
Epoch 30: Accuracy=0.6135
Epoch 31: Accuracy=0.6165
Epoch 32: Accuracy=0.6269
Epoch 33: Accuracy=0.6181
Epoch 34: Accuracy=0.6235
Epoch 35: Accuracy=0.6276
Epoch 36: Accuracy=0.6143
Epoch 37: Accuracy=0.6252
Epoch 38: Accuracy=0.6238
Epoch 39: Accuracy=0.6211
Epoch 40: Accuracy=0.6175
Epoch 41: Accuracy=0.6212
Epoch 42: Accuracy=0.6200
Epoch 43: Accuracy=0.6254
Epoch 44: Accuracy=0.6195
Epoch 45: Accuracy=0.6233
Epoch 46: Accuracy=0.6190
Epoch 47: Accuracy=0.6297
Epoch 48: Accuracy=0.6193
Epoch 49: Accuracy=0.6211
Epoch 50: Accuracy=0.6182

Running config: emb_dim=192, depth=6, heads=8, mlp_dim=1024
Epoch 1: Accuracy=0.4514
Epoch 2: Accuracy=0.5418
Epoch 3: Accuracy=0.5756
Epoch 4: Accuracy=0.5917
Epoch 5: Accuracy=0.6079
Epoch 6: Accuracy=0.6158
Epoch 7: Accuracy=0.6284
Epoch 8: Accuracy=0.6347
Epoch 9: Accuracy=0.6335
Epoch 10: Accuracy=0.6303
Epoch 11: Accuracy=0.6234
Epoch 12: Accuracy=0.6282
Epoch 13: Accuracy=0.6305
Epoch 14: Accuracy=0.6232
Epoch 15: Accuracy=0.6170
Epoch 16: Accuracy=0.6154
Epoch 17: Accuracy=0.6146
Epoch 18: Accuracy=0.6231
Epoch 19: Accuracy=0.6271
Epoch 20: Accuracy=0.6239
Epoch 21: Accuracy=0.6317
Epoch 22: Accuracy=0.6285
